Number,references,location,Region,MAP,MAT,Texture,PPH,SOC,Water,OP,CW,WSP,WSP%,Nitrogen,ON,CN,NSP,NSP%,Yield,WP,NUE
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,398,912.8,W-,-514.8,,59,240,N-,-181,,4.31,1.08,73.1
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,455,912.8,W-,-457.8,,0,240,N-,-240,,4.16,0.91,
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,375,912.8,W-,-537.8,,0,240,N-,-240,,4,1.07,
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,442,912.8,W-,-470.8,,400,240,N+,160,,6.02,1.36,15.04
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,499,912.8,W-,-413.8,,341,240,N+,101,,6.81,1.36,19.97
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,385,912.8,W-,-527.8,,341,240,N+,101,,6.23,1.62,18.27
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,522,912.8,W-,-390.8,,200,240,N-,-40,,6.39,1.22,31.93
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,442,912.8,W-,-470.8,,200,240,N-,-40,,6.91,1.56,34.56
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,362,912.8,W-,-550.8,,200,240,N-,-40,,6.12,1.69,30.62
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,499,912.8,W-,-413.8,,59,240,N-,-181,,5.91,1.18,100.17
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,385,912.8,W-,-527.8,,59,240,N-,-181,,6.01,1.56,101.85
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,442,912.8,W-,-470.8,,0,240,N-,-240,,4.89,1.11,
35,Han et al. 2013,Shaanxi Yangling,China,635.1,12.9,clay loam,56500,7.08,362,912.8,W-,-550.8,,0,240,N-,-240,,3.6,1,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,198,912.8,W-,-714.8,,0,240,N-,-240,,9.5,4.8,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,198,912.8,W-,-714.8,,168,240,N-,-72,,10.1,5.1,60.12
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,198,912.8,W-,-714.8,,240,240,N,0,,10.3,5.2,42.92
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,198,912.8,W-,-714.8,,270,240,N+,30,,10.1,5.1,37.41
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,198,912.8,W-,-714.8,,312,240,N+,72,,10.6,5.35,33.97
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,198,912.8,W-,-714.8,,0,240,N-,-240,,9,4.55,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,198,912.8,W-,-714.8,,168,240,N-,-72,,9.6,4.85,57.14
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,198,912.8,W-,-714.8,,240,240,N,0,,11.2,5.66,46.67
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,198,912.8,W-,-714.8,,270,240,N+,30,,11.4,5.76,42.22
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,198,912.8,W-,-714.8,,312,240,N+,72,,10.7,5.4,34.29
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,198,912.8,W-,-714.8,,0,240,N-,-240,,1.5,0.76,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,198,912.8,W-,-714.8,,168,240,N-,-72,,1,0.51,5.95
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,198,912.8,W-,-714.8,,240,240,N,0,,1.3,0.66,5.42
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,198,912.8,W-,-714.8,,270,240,N+,30,,1.1,0.56,4.07
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,198,912.8,W-,-714.8,,312,240,N+,72,,1.7,0.86,5.45
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,530,912.8,W-,-382.8,,0,240,N-,-240,,7,1.32,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,530,912.8,W-,-382.8,,168,240,N-,-72,,10,1.89,59.52
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,530,912.8,W-,-382.8,,240,240,N,0,,10,1.89,41.67
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,530,912.8,W-,-382.8,,270,240,N+,30,,9.9,1.87,36.67
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,530,912.8,W-,-382.8,,312,240,N+,72,,10.5,1.98,33.65
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,530,912.8,W-,-382.8,,0,240,N-,-240,,9.6,1.81,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,530,912.8,W-,-382.8,,168,240,N-,-72,,10.7,2.02,63.69
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,530,912.8,W-,-382.8,,240,240,N,0,,10.7,2.02,44.58
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,530,912.8,W-,-382.8,,270,240,N+,30,,10.2,1.92,37.78
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,530,912.8,W-,-382.8,,312,240,N+,72,,10.1,1.91,32.37
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,530,912.8,W-,-382.8,,0,240,N-,-240,,4.3,0.81,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,530,912.8,W-,-382.8,,168,240,N-,-72,,10.4,1.96,61.9
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,530,912.8,W-,-382.8,,240,240,N,0,,9.2,1.74,38.33
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,530,912.8,W-,-382.8,,270,240,N+,30,,10.3,1.94,38.15
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,530,912.8,W-,-382.8,,312,240,N+,72,,9.9,1.87,31.73
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,433,912.8,W-,-479.8,,0,240,N-,-240,,4.1,0.95,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,433,912.8,W-,-479.8,,168,240,N-,-72,,8.1,1.87,48.21
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,433,912.8,W-,-479.8,,240,240,N,0,,8.9,2.06,37.08
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,433,912.8,W-,-479.8,,270,240,N+,30,,8.6,1.99,31.85
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,loamy clay,65000,14.68,433,912.8,W-,-479.8,,312,240,N+,72,,7.2,1.66,23.08
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,433,912.8,W-,-479.8,,0,240,N-,-240,,6.5,1.5,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,433,912.8,W-,-479.8,,168,240,N-,-72,,11.6,2.68,69.05
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,433,912.8,W-,-479.8,,240,240,N,0,,11.4,2.63,47.5
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,433,912.8,W-,-479.8,,270,240,N+,30,,10.5,2.42,38.89
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,clay loam,65000,7.08,433,912.8,W-,-479.8,,312,240,N+,72,,10.6,2.45,33.97
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,433,912.8,W-,-479.8,,0,240,N-,-240,,5.4,1.25,
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,433,912.8,W-,-479.8,,168,240,N-,-72,,8.1,1.87,48.21
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,433,912.8,W-,-479.8,,240,240,N,0,,8.4,1.94,35
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,433,912.8,W-,-479.8,,270,240,N+,30,,7.3,1.69,27.04
38,Feng et al. 2016,Jilin Siping,China,578.5,5.5,sandy loam,65000,7.66,433,912.8,W-,-479.8,,312,240,N+,72,,8.6,1.99,27.56
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,63918,7.66,581,912.8,W-,-331.8,,367,240,N+,127,,7.76,1.34,21.14
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,46082,7.66,581,912.8,W-,-331.8,,367,240,N+,127,,7.04,1.21,19.19
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,63918,7.66,473,912.8,W-,-439.8,,367,240,N+,127,,7.3,1.54,19.9
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,46082,7.66,473,912.8,W-,-439.8,,367,240,N+,127,,6.8,1.44,18.54
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,63918,7.66,581,912.8,W-,-331.8,,93,240,N-,-147,,6.2,1.07,66.63
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,46082,7.66,581,912.8,W-,-331.8,,93,240,N-,-147,,6.63,1.14,71.27
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,63918,7.66,473,912.8,W-,-439.8,,93,240,N-,-147,,5.79,1.22,62.28
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,46082,7.66,473,912.8,W-,-439.8,,93,240,N-,-147,,6.18,1.31,66.41
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,527,912.8,W-,-385.8,,460,240,N+,220,,6.21,1.18,13.51
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,527,912.8,W-,-385.8,,0,240,N-,-240,,5.17,0.98,
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,617,912.8,W-,-295.8,,230,240,N-,-10,,6.58,1.07,28.6
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,437,912.8,W-,-475.8,,230,240,N-,-10,,5.98,1.37,25.98
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,70000,7.66,527,912.8,W-,-385.8,,230,240,N-,-10,,7.91,1.5,34.38
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,40000,7.66,527,912.8,W-,-385.8,,230,240,N-,-10,,5.02,0.95,21.83
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,527,912.8,W-,-385.8,,230,240,N-,-10,,8.04,1.53,34.97
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,63918,7.66,817,912.8,W-,-95.8,,367,240,N+,127,,7.34,0.9,20
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,46082,7.66,817,912.8,W-,-95.8,,367,240,N+,127,,6.79,0.83,18.51
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,63918,7.66,709,912.8,W-,-203.8,,367,240,N+,127,,6.98,0.98,19.02
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,46082,7.66,709,912.8,W-,-203.8,,367,240,N+,127,,6.17,0.87,16.81
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,63918,7.66,817,912.8,W-,-95.8,,93,240,N-,-147,,6.55,0.8,70.41
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,46082,7.66,817,912.8,W-,-95.8,,93,240,N-,-147,,5.4,0.66,58.08
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,63918,7.66,709,912.8,W-,-203.8,,93,240,N-,-147,,6.62,0.93,71.13
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,46082,7.66,709,912.8,W-,-203.8,,93,240,N-,-147,,6.26,0.88,67.32
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,763,912.8,W-,-149.8,,460,240,N+,220,,6.49,0.85,14.1
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,763,912.8,W-,-149.8,,0,240,N-,-240,,4.74,0.62,
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,853,912.8,W-,-59.8,,230,240,N-,-10,,6.8,0.8,29.57
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,673,912.8,W-,-239.8,,230,240,N-,-10,,4.96,0.74,21.55
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,70000,7.66,763,912.8,W-,-149.8,,230,240,N-,-10,,6.65,0.87,28.92
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,40000,7.66,763,912.8,W-,-149.8,,230,240,N-,-10,,5.37,0.7,23.34
39,Han et al. 2015,Shaanxi Yangling,China,600,12.9,clay loam,55000,7.66,763,912.8,W-,-149.8,,230,240,N-,-10,,7.79,1.02,33.86
40,Han et al. 2014,Shaanxi Yangling,China,600,12.9,clay loam,56500,7.08,437,912.8,W-,-475.8,,0,240,N-,-240,,4.88,1.12,
40,Han et al. 2014,Shaanxi Yangling,China,600,12.9,clay loam,56500,7.08,477,912.8,W-,-435.8,,99.99,240,N-,-140.01,,6.44,1.35,64.39
40,Han et al. 2014,Shaanxi Yangling,China,600,12.9,clay loam,56500,7.08,527,912.8,W-,-385.8,,230,240,N-,-10,,8.04,1.53,34.97
40,Han et al. 2014,Shaanxi Yangling,China,600,12.9,clay loam,56500,7.08,617,912.8,W-,-295.8,,300,240,N+,60,,7.9,1.28,26.34
40,Han et al. 2014,Shaanxi Yangling,China,600,12.9,clay loam,56500,7.08,477,912.8,W-,-435.8,,99.99,240,N-,-140.01,,8.88,1.86,88.79
40,Han et al. 2014,Shaanxi Yangling,China,600,12.9,clay loam,56500,7.08,527,912.8,W-,-385.8,,230,240,N-,-10,,7.16,1.36,31.12
40,Han et al. 2014,Shaanxi Yangling,China,600,12.9,clay loam,56500,7.08,617,912.8,W-,-295.8,,300,240,N+,60,,6.93,1.12,23.11
